resource_id,name,agency,description,contact,n_downloads,category,percent_datatypes,percent_descriptions
6z8x-wfk4,Evictions,Department of Investigation (DOI),"This dataset lists pending, scheduled and executed evictions within the five boroughs, for the year 2017 - Present.  The data fields may be sorted by Court Index Number, Docket Number, Eviction Address, Apartment Number, Executed Date, Marshal First Name, Marshal Last Name, Residential or Commercial (property type), Borough, Zip Code and Scheduled Status (Pending/Scheduled).

Eviction data is compiled from the majority of New York City Marshals.  Marshals are independent public officials and should be contacted directly for more information at https://www1.nyc.gov/site/doi/offices/marshals-list.page Data prior to January 1 2017 is not currently available.",,12458,City Government,1.0,1.0
833y-fsy8,NYPD Shooting Incident Data (Historic),Police Department (NYPD),"List of every shooting incident that occurred in NYC going back to 2006 through the end of the previous calendar year.

This is a breakdown of every shooting incident that occurred in NYC going back to 2006 through the end of the previous calendar year. This data is manually extracted every quarter and reviewed by the Office of Management Analysis and Planning before being posted on the NYPD website. Each record represents a shooting incident in NYC and includes information about the event, the location and time of occurrence. In addition, information related to suspect and victim demographics is also included. This data can be used by the public to explore the nature of shooting/criminal activity. Please refer to the attached data footnotes for additional information about this dataset.",,76027,Public Safety,1.0,0.7307692307692307
3h2n-5cm9,DOB Violations,Department of Buildings (DOB),Violations that have been issued by the Department of Buildings. There may also be an ECB violation. (https://data.cityofnewyork.us/Housing-Development/DOB-ECB-Violations/6bgk-3dad),,10089,Housing & Development,1.0,0.0
t29m-gskq,2018 Yellow Taxi Trip Data,Taxi and Limousine Commission (TLC),"The yellow and green taxi trip records include fields capturing pick-up and drop-off dates/times, pick-up and drop-off locations, trip distances, itemized fares, rate types, payment types, and driver-reported passenger counts. The data used in the attached datasets were collected and provided to the NYC Taxi and Limousine Commission (TLC) by technology providers authorized under the Taxicab & Livery Passenger Enhancement Programs (TPEP/LPEP). The  trip data was not created by the TLC, and TLC makes no representations as to the accuracy of these data.
For more information please refer to http://www.nyc.gov/html/tlc/html/about/trip_record_data.shtml",,9847,Transportation,1.0,0.0
ia2d-e54m,Water Consumption in the City of New York,Department of Environmental Protection (DEP),A brief history of water consumption in the New York City Water Supply System (Based on New York City Census population),,15718,Environment,1.0,0.0
hg8x-zxpr,Affordable Housing Production by Building,Department of Housing Preservation and Development (HPD),"The Department of Housing Preservation and Development (HPD) reports on projects, buildings, and units that began after January 1, 2014, and are counted towards either the Housing New York plan (1/1/2014 – 12/31/2021) or the Housing Our Neighbors: A Blueprint for Housing & Homelessness plan (1/1/2022 – present).",,22895,Housing & Development,1.0,1.0
w7w3-xahh,Legally Operating Businesses,Department of Consumer and Worker Protection (DCWP),"This data set features businesses/individuals holding a DCA license so that they may legally operate in New York City. Note: Sightseeing guides and temporary street fair vendors are not included in this data set.
*Due to COVID-19 pandemic, DCA extended certain license expiration dates and renewal application deadlines which are not reflected in this data set. For more information, visit nyc.gov/BusinessToolbox.",,33375,Business,1.0,0.7222222222222222
muvi-b6kx,Property Exemption Detail,Department of Finance (DOF),"Government, Not-for-Profit and Commercial Exemptions maintained by NYC Department of Finance.

The Department of Finance administers a number of benefits for property owners in the form of exemptions and abatements. Exemptions lower the amount of tax one owes by reducing the property's assessed value.  This data contains exemption information for Government, Not-for-Profit and Commercial Exemptions.",,4422,City Government,1.0,0.7428571428571429
uvpi-gqnh,2015 Street Tree Census - Tree Data,Department of Parks and Recreation (DPR),"Street tree data from the TreesCount! 2015 Street Tree Census, conducted by volunteers and staff organized by NYC Parks & Recreation and partner organizations. Tree data collected includes tree species, diameter and perception of health. Accompanying blockface data is available indicating status of data collection and data release citywide.",,14358,Environment,1.0,0.8888888888888888
wvxf-dwi5,Housing Maintenance Code Violations,Department of Housing Preservation and Development (HPD),"Pursuant to New York City’s Housing Maintenance Code, the Department of Housing Preservation and Development (HPD) issues violations against conditions, in rental dwelling units and buildings, that have been verified to violate the New York City Housing Maintenance Code (HMC) or the New York State Multiple Dwelling Law (MDL).
Each row in this dataset contains discrete information about one violation of the New York City Housing Maintenance Code or New York State Multiple Dwelling Law. Each violation is identified using a unique Violation ID. These Laws are in place to provide requirements for the maintenance of residential dwelling units within New York City. 
Violations are issued by Housing Inspectors after a physical inspection is conducted (except for class I violations which are generally  administratively issued).  Violations are issued in four classes: Class A (non-hazardous), Class B (hazardous), Class C (immediately hazardous) and Class I (information orders).  For more information on violations, see https://www1.nyc.gov/site/hpd/owners/compliance-clear-violations.page  
The base data for this file is all violations open as of October 1, 2012.  Violation data is updated daily.  The daily update includes both new violations and updates to the status of previously issued violations. An open violation is a violation which is still active on the Department records. See the status table for determining how to filter for open violations versus closed violations, and within open violations for a more detailed current status. 
The property owner may or may not have corrected the physical condition if the status is open. The violation status is closed when the violation is observed/verified as corrected by HPD or as certified by the landlord.   The processes for having violations dismissed are described at http://www1.nyc.gov/site/hpd/owners/compliance-clear-violations.page
Using other HPD datasets, such as the Building File or the Registration File, a user can link together violations issued for given buildings or for given owners.",,14900,Housing & Development,1.0,1.0
uiay-nctu,Open Streets Locations,Department of Transportation (DOT),"New York City's Open Streets program transforms streets into public spaces open to all. These public spaces allows a variety of activities including education and cultural programming as well as building communities. For more information please visit: https://www.nyc.gov/html/dot/html/pedestrians/openstreets.shtml
Please note: there may be a delay in updates to the Open Data files.",,3269,Health,1.0,0.9655172413793104
xywu-7bv9,"New York City Population by Borough, 1950 - 2040",Department of City Planning (DCP),"Unadjusted decennial census data from 1950-2000 and projected figures from 2010-2040: summary table of New York City population numbers and percentage share by Borough, including school-age (5 to 17), 65 and Over, and total population.",,5221,City Government,1.0,0.0
5ucz-vwe8,NYPD Shooting Incident Data (Year To Date),Police Department (NYPD),"List of every shooting incident that occurred in NYC  during the current calendar year.

This is a breakdown of every shooting incident that occurred in NYC during the current calendar year. This data is manually extracted every quarter and reviewed by the Office of Management Analysis and Planning before being posted on the NYPD website. 
 Each record represents a shooting incident in NYC and includes information about the event, the location and time of occurrence. In addition, information related to suspect and victim demographics is also included. This data can be used by the public to explore the nature of police enforcement activity. Please refer to the attached data footnotes for additional information about this dataset.",,7730,Public Safety,1.0,0.6923076923076923
867j-5pgi,Trade Waste Hauler Licensees,Business Integrity Commission (BIC),"Companies listed as of the most recent export date have been issued trade waste removal licenses by the Business Integrity Commission and, therefore, are authorized to collect and remove all types of trade waste covered by Local Law 42 of 1996.

This data is collected on the entities that apply with the commission to operate as Licensees. 

Each record represents an entity that is approved to operate in the City of New York by the Commission. 

The  Application Type field denotes the class of application 'License'  noting the type of applicant which is a Licensee. They are able to pickup all trade waste from various businesses throughout the city.

The BIC Number field is unique to every company that applies to the Commission.",,7192,City Government,1.0,0.7407407407407407
ncbg-6agr,DOF Parking Violation Codes,Department of Finance (DOF),This dataset defines the parking violation codes in New York City and lists the fines. Each fine amount includes a $15 New York State Criminal Justice surcharge.,,6367,Transportation,1.0,0.0
bs8b-p36w,DOB Certificate Of Occupancy,Department of Buildings (DOB),"A Certificate of Occupancy (CO) states a building’s legal use and/or type of permitted occupancy. New buildings must have a CO, and existing buildings must have a current or amended CO when there is a change in use, egress or type of occupancy. No one may legally occupy a building until the Department has issued a Certificate of Occupancy or Temporary Certificate of Occupancy. The Department issues a final Certificate of Occupancy when the completed work matches the submitted plans for new buildings or major alterations. It issues a Letter of Completion for minor alterations to properties. These documents confirm the work complies with all applicable laws, all paperwork has been completed, all fees owed to the Department have been paid, all relevant violations have been resolved and all necessary approvals have been received from other City Agencies.

This dataset contains all Certificates of Occupancy issued since 7/12/12.",,14801,Housing & Development,1.0,0.7352941176470589
6bgk-3dad,DOB ECB Violations,Department of Buildings (DOB),Violations by the Department of Buildings that are adjudicated by OATH/ECB. There may also be a DOB violation. (https://data.cityofnewyork.us/Housing-Development/DOB-Violations/3h2n-5cm9),,13451,Housing & Development,1.0,0.0
y7az-s7wc,J-51 Exemption and Abatement,Department of Finance (DOF),"J-51 is a property tax exemption and abatement for renovating a residential apartment building or conversion to multiple dwellings.

J-51 is a property tax exemption and abatement for renovating a residential apartment building. The benefit varies depending on the building's location and the type of improvement.

The NYC Department of Housing Preservation and Development (HPD) determines the eligibility for the program. Finance administers the benefit. Once approved you must complete and submit Finance's J-51 Property Tax Exemption and Abatement Application. You need to include the certificate of Eligibility from HPD with your application.",,4796,City Government,1.0,1.0
